date,exact_matches,mean_hmm_cost,median_hmm_cost,rejected,scorpio,total,total_hmm_cost,inserted
2021-04-06,27,1.24,1.0,2,Gamma (P.1-like),63,78.0,34
2021-04-06,1,3.6,4.0,0,Eta (B.1.525-like),5,18.0,4
2021-04-06,21,1.45,1.0,0,Epsilon (B.1.429-like),47,68.0,26
2021-04-06,7,1.75,1.5,0,Epsilon (B.1.427-like),24,42.0,17
2021-04-06,2,0.0,0.0,0,Zeta (P.2-like),2,0.0,0
2021-04-06,0,6.0,6.0,0,Mu (B.1.621-like),1,6.0,1
2021-04-07,1282,0.85,0.0,12,Alpha (B.1.1.7-like),2294,1961.0,1000
2021-04-07,2,3.7,3.0,1,B.1.617.1-like,10,37.0,7
2021-04-07,55,5.5,2.0,50,.,192,1056.0,87
2021-04-07,5,1.64,1.0,1,B.1.1.318-like,14,23.0,8
2021-04-07,10,2.54,1.5,3,Beta (B.1.351-like),26,66.0,13
2021-04-07,1,2.5,1.5,1,Eta (B.1.525-like),10,25.0,8
2021-04-07,3,1.29,1.0,0,Delta (B.1.617.2-like),17,22.0,14
2021-04-07,26,1.43,0.0,2,Gamma (P.1-like),49,70.0,21
2021-04-07,45,1.27,1.0,1,Iota (B.1.526-like),115,146.0,69
2021-04-07,12,1.3,1.0,0,Epsilon (B.1.427-like),27,35.0,15
2021-04-07,12,1.74,1.5,1,Epsilon (B.1.429-like),50,87.0,37
2021-04-07,0,18.5,18.5,2,Lambda (C.37-like),2,37.0,0
2021-04-07,0,1.0,1.0,0,B.1.1.7-like+E484K,1,1.0,1
2021-04-07,1,0.0,0.0,0,Zeta (P.2-like),1,0.0,0
2021-04-08,1069,0.81,0.0,3,Alpha (B.1.1.7-like),1957,1586.0,885
2021-04-08,3,1.8,1.5,0,Delta (B.1.617.2-like),10,18.0,7
2021-04-08,5,1.63,2.0,0,Beta (B.1.351-like),19,31.0,14
2021-04-08,3,3.29,3.0,1,B.1.617.1-like,7,23.0,3
2021-04-08,4,1.33,1.0,0,B.1.1.318-like,9,12.0,5
2021-04-08,3,2.22,2.0,0,Eta (B.1.525-like),9,20.0,6
2021-04-08,39,4.9,2.0,34,.,163,798.0,90
2021-04-08,1,0.67,1.0,0,B.1.1.7-like+E484K,3,2.0,2
2021-04-08,20,1.25,1.0,1,Gamma (P.1-like),44,55.0,23
2021-04-08,12,1.36,1.0,0,Epsilon (B.1.427-like),28,38.0,16
2021-04-08,59,1.18,1.0,0,Iota (B.1.526-like),142,168.0,83
2021-04-08,24,1.04,1.0,0,Epsilon (B.1.429-like),54,56.0,30
2021-04-08,0,18.4,17.0,5,Lambda (C.37-like),5,92.0,0
2021-04-08,0,4.0,4.0,0,Delta (B.1.617.2-like) +K417N,1,4.0,1
2021-04-09,1225,0.8,0.0,3,Alpha (B.1.1.7-like),2237,1779.0,1009
2021-04-09,9,1.48,1.0,0,Beta (B.1.351-like),23,34.0,14
2021-04-09,67,3.91,1.0,30,.,221,864.0,124
2021-04-09,21,1.0,1.0,0,Gamma (P.1-like),45,45.0,24
2021-04-09,5,2.93,3.0,1,B.1.617.1-like,15,44.0,9
2021-04-09,0,12.0,12.0,1,A.23.1-like,1,12.0,0
2021-04-09,6,0.14,0.0,0,B.1.1.318-like,7,1.0,1
2021-04-09,4,5.4,7.0,7,Delta (B.1.617.2-like),20,108.0,9
2021-04-09,3,2.12,1.5,0,Eta (B.1.525-like),8,17.0,5
2021-04-09,89,1.22,1.0,1,Iota (B.1.526-like),200,244.0,110
2021-04-09,8,0.89,1.0,0,Epsilon (B.1.427-like),19,17.0,11
2021-04-09,0,18.0,18.0,2,Lambda (C.37-like),2,36.0,0
2021-04-09,30,1.1,0.0,0,Epsilon (B.1.429-like),58,64.0,28
2021-04-09,1,0.75,1.0,0,Zeta (P.2-like),4,3.0,3
2021-04-09,0,8.0,8.0,1,Mu (B.1.621-like),1,8.0,0
2021-04-10,872,0.91,0.0,8,Alpha (B.1.1.7-like),1687,1542.0,807
2021-04-10,6,1.73,0.0,0,Beta (B.1.351-like),11,19.0,5
2021-04-10,7,2.56,2.0,1,Delta (B.1.617.2-like),32,82.0,24
2021-04-10,0,2.88,3.0,0,B.1.617.1-like,8,23.0,8
2021-04-10,55,4.9,1.5,40,.,180,882.0,85
2021-04-10,1,2.75,3.0,0,B.1.1.7-like+E484K,4,11.0,3
2021-04-10,36,0.82,0.0,1,Gamma (P.1-like),67,55.0,30
2021-04-10,5,0.71,0.0,0,B.1.1.318-like,7,5.0,2
2021-04-10,2,2.29,2.0,0,Eta (B.1.525-like),7,16.0,5
2021-04-10,0,11.0,11.0,1,Delta (AY.4-like),1,11.0,0
2021-04-10,66,1.25,1.0,2,Iota (B.1.526-like),163,203.0,95
2021-04-10,32,0.75,0.0,0,Epsilon (B.1.429-like),51,38.0,19
2021-04-10,11,0.89,0.0,1,Epsilon (B.1.427-like),18,16.0,6
2021-04-10,0,19.25,19.0,4,Lambda (C.37-like),4,77.0,0
2021-04-10,0,16.0,16.0,1,A.23.1-like,1,16.0,0
2021-04-10,0,2.0,2.0,0,Mu (B.1.621-like),1,2.0,1
2021-04-11,929,0.77,0.0,4,Alpha (B.1.1.7-like),1687,1300.0,754
2021-04-11,56,3.91,1.0,25,.,170,665.0,89
2021-04-11,2,1.91,1.0,0,Beta (B.1.351-like),11,21.0,9
2021-04-11,3,2.5,1.0,1,B.1.617.1-like,8,20.0,4
2021-04-11,3,3.38,2.0,2,Delta (B.1.617.2-like),21,71.0,16
2021-04-11,33,0.88,1.0,0,Gamma (P.1-like),67,59.0,34
2021-04-11,7,1.42,0.0,1,B.1.1.318-like,12,17.0,4
2021-04-11,1,1.64,1.0,0,Eta (B.1.525-like),11,18.0,10
2021-04-11,1,1.33,1.0,0,B.1.1.7-like+E484K,3,4.0,2
2021-04-11,59,1.25,1.0,0,Iota (B.1.526-like),159,199.0,100
2021-04-11,6,1.5,1.0,0,Epsilon (B.1.429-like),28,42.0,22
2021-04-11,1,0.0,0.0,0,Zeta (P.2-like),1,0.0,0
2021-04-11,13,0.63,0.0,0,Epsilon (B.1.427-like),19,12.0,6
2021-04-11,0,19.67,20.0,3,Lambda (C.37-like),3,59.0,0
2021-04-11,1,0.0,0.0,0,Mu (B.1.621-like),1,0.0,0
2021-04-11,1,0.0,0.0,0,A.23.1-like,1,0.0,0
2021-04-12,1211,0.85,0.0,12,Alpha (B.1.1.7-like),2251,1913.0,1028
2021-04-12,4,2.09,2.0,0,Beta (B.1.351-like),22,46.0,18
2021-04-12,32,0.89,0.0,0,Gamma (P.1-like),63,56.0,31
2021-04-12,7,1.41,1.0,0,Delta (B.1.617.2-like),17,24.0,10
2021-04-12,79,3.69,1.0,30,.,204,753.0,95
2021-04-12,3,2.5,2.0,0,B.1.617.1-like,8,20.0,5
2021-04-12,0,1.0,1.0,0,B.1.1.7-like+E484K,1,1.0,1
2021-04-12,62,1.36,1.0,1,Iota (B.1.526-like),160,218.0,97
2021-04-12,6,1.83,1.0,0,B.1.1.318-like,18,33.0,12
2021-04-12,2,1.88,1.5,0,Eta (B.1.525-like),8,15.0,6
2021-04-12,17,1.93,2.0,2,Epsilon (B.1.429-like),43,83.0,24
2021-04-12,7,1.07,1.0,0,Epsilon (B.1.427-like),15,16.0,8
2021-04-12,0,3.25,3.5,0,Mu (B.1.621-like),4,13.0,4
2021-04-12,0,18.0,18.0,1,B.1.617.3-like,1,18.0,0
2021-04-12,1,6.0,6.0,1,A.23.1-like,2,12.0,0
2021-04-12,0,24.0,24.0,2,Lambda (C.37-like),2,48.0,0
2021-04-12,0,2.0,2.0,0,Zeta (P.2-like),1,2.0,1
2021-04-13,1229,0.86,0.0,15,Alpha (B.1.1.7-like),2303,1972.0,1059
2021-04-13,4,4.79,4.0,8,Delta (B.1.617.2-like),19,91.0,7
2021-04-13,59,3.88,1.0,27,.,182,707.0,96
2021-04-13,4,2.12,0.5,1,B.1.617.1-like,8,17.0,3
2021-04-13,2,0.5,0.5,0,B.1.1.7-like+E484K,4,2.0,2
2021-04-13,41,0.75,0.0,1,Gamma (P.1-like),71,53.0,29
2021-04-13,5,2.8,2.0,1,Beta (B.1.351-like),15,42.0,9
2021-04-13,1,2.0,2.0,0,Eta (B.1.525-like),2,4.0,1
2021-04-13,2,2.38,2.0,0,B.1.1.318-like,16,38.0,14
2021-04-13,79,1.15,1.0,2,Iota (B.1.526-like),198,227.0,117
2021-04-13,0,20.0,20.0,2,Lambda (C.37-like),2,40.0,0
2021-04-13,0,2.5,1.5,1,Mu (B.1.621-like),6,15.0,5
2021-04-13,14,1.03,1.0,0,Epsilon (B.1.429-like),29,30.0,15
2021-04-13,8,1.43,1.0,0,Epsilon (B.1.427-like),21,30.0,13
2021-04-13,0,1.0,1.0,0,Zeta (P.2-like),1,1.0,1
2021-04-14,1238,0.87,0.0,14,Alpha (B.1.1.7-like),2295,2005.0,1043
2021-04-14,3,3.6,3.0,2,B.1.617.1-like,10,36.0,5
2021-04-14,29,0.74,0.0,0,Gamma (P.1-like),53,39.0,24
2021-04-14,8,1.52,1.0,1,Beta (B.1.351-like),25,38.0,16
2021-04-14,4,2.3,1.0,0,Eta (B.1.525-like),10,23.0,6
2021-04-14,7,2.71,2.0,3,Delta (B.1.617.2-like),31,84.0,21
2021-04-14,0,26.0,26.0,1,AV.1-like,1,26.0,0
2021-04-14,4,2.42,1.5,0,B.1.1.318-like,12,29.0,8
2021-04-14,51,3.65,1.0,25,.,170,620.0,94
2021-04-14,3,1.4,0.0,0,B.1.1.7-like+E484K,5,7.0,2
2021-04-14,0,12.0,12.0,1,Zeta (P.2-like),1,12.0,0
2021-04-14,99,1.03,1.0,0,Iota (B.1.526-like),227,233.0,128
2021-04-14,11,1.49,1.0,2,Epsilon (B.1.429-like),35,52.0,22
2021-04-14,1,3.5,3.5,0,Mu (B.1.621-like),2,7.0,1
2021-04-14,5,1.5,1.0,0,Epsilon (B.1.427-like),14,21.0,9
2021-04-14,0,20.67,21.0,3,Lambda (C.37-like),3,62.0,0
2021-04-15,943,0.8,0.0,6,Alpha (B.1.1.7-like),1703,1357.0,754
2021-04-15,26,0.82,0.0,0,Gamma (P.1-like),40,33.0,14
2021-04-15,13,2.62,1.5,4,Delta (B.1.617.2-like),50,131.0,33
2021-04-15,49,2.82,1.0,13,.,110,310.0,48
2021-04-15,4,1.83,1.5,0,Beta (B.1.351-like),12,22.0,8
2021-04-15,5,2.33,1.0,0,B.1.617.1-like,15,35.0,10
2021-04-15,0,22.0,22.0,1,B.1.617.3-like,1,22.0,0
2021-04-15,1,2.33,2.0,0,B.1.1.7-like+E484K,3,7.0,2
2021-04-15,7,1.54,0.0,0,B.1.1.318-like,13,20.0,6
2021-04-15,2,3.14,3.0,1,Eta (B.1.525-like),7,22.0,4
2021-04-15,0,8.0,8.0,2,A.23.1-like,2,16.0,0
2021-04-15,0,2.0,2.0,0,Delta (AY.4-like),1,2.0,1
2021-04-15,50,1.1,1.0,1,Iota (B.1.526-like),112,123.0,61
2021-04-15,12,1.0,1.0,0,Epsilon (B.1.429-like),25,25.0,13
2021-04-15,3,1.0,1.0,0,Epsilon (B.1.427-like),10,10.0,7
2021-04-15,0,18.75,19.0,4,Lambda (C.37-like),4,75.0,0
2021-04-15,1,0.0,0.0,0,Mu (B.1.621-like),1,0.0,0
2021-04-16,869,0.8,0.0,7,Alpha (B.1.1.7-like),1569,1261.0,693
2021-04-16,26,3.54,1.0,11,.,87,308.0,50
2021-04-16,7,1.06,1.0,0,Beta (B.1.351-like),17,18.0,10
2021-04-16,7,2.24,2.0,1,Delta (B.1.617.2-like),37,83.0,29
2021-04-16,2,3.19,3.0,1,B.1.617.1-like,16,51.0,13
2021-04-16,10,1.06,1.0,0,Gamma (P.1-like),31,33.0,21
2021-04-16,2,2.29,3.0,0,B.1.1.7-like+E484K,7,16.0,5
2021-04-16,1,2.25,2.0,0,Eta (B.1.525-like),4,9.0,3
2021-04-16,2,1.83,1.5,0,B.1.1.318-like,6,11.0,4
2021-04-16,55,1.15,1.0,2,Iota (B.1.526-like),113,130.0,56
2021-04-16,6,1.64,1.0,1,Epsilon (B.1.429-like),22,36.0,15
2021-04-16,3,1.6,1.0,0,Epsilon (B.1.427-like),10,16.0,7
2021-04-16,0,4.0,4.0,0,Lambda (C.37-like),1,4.0,1
2021-04-16,0,1.5,1.5,0,Mu (B.1.621-like),2,3.0,2
2021-04-17,759,0.75,0.0,7,Alpha (B.1.1.7-like),1267,953.0,501
2021-04-17,18,1.5,1.0,0,Delta (B.1.617.2-like),48,72.0,30
2021-04-17,26,4.5,1.0,15,.,78,351.0,37
2021-04-17,9,1.05,1.0,0,Gamma (P.1-like),22,23.0,13
2021-04-17,3,1.22,1.0,0,Eta (B.1.525-like),9,11.0,6
2021-04-17,4,1.0,0.0,0,Beta (B.1.351-like),7,7.0,3
2021-04-17,3,1.86,1.0,0,B.1.617.1-like,7,13.0,4
2021-04-17,0,20.5,20.5,2,B.1.617.3-like,2,41.0,0
2021-04-17,2,0.67,0.0,0,B.1.1.7-like+E484K,3,2.0,1
2021-04-17,0,3.67,3.0,0,B.1.1.318-like,3,11.0,3
2021-04-17,51,1.19,1.0,0,Iota (B.1.526-like),120,143.0,69
2021-04-17,5,1.17,1.0,0,Epsilon (B.1.429-like),12,14.0,7
2021-04-17,1,0.5,0.5,0,Mu (B.1.621-like),2,1.0,1
2021-04-17,3,0.25,0.0,0,Epsilon (B.1.427-like),4,1.0,1
2021-04-17,1,0.0,0.0,0,Lambda (C.37-like),1,0.0,0
2021-04-18,589,0.74,0.0,3,Alpha (B.1.1.7-like),1011,753.0,419
2021-04-18,28,4.45,1.0,14,.,73,325.0,31
2021-04-18,1,2.75,3.0,0,B.1.1.318-like,4,11.0,3
2021-04-18,9,1.64,1.0,0,Delta (B.1.617.2-like),36,59.0,27
2021-04-18,1,0.5,0.5,0,Delta (AY.4-like),2,1.0,1
2021-04-18,1,3.17,2.5,1,B.1.617.1-like,6,19.0,4
2021-04-18,16,0.93,0.0,0,Gamma (P.1-like),28,26.0,12
2021-04-18,4,1.57,0.0,1,Beta (B.1.351-like),7,11.0,2
2021-04-18,1,0.5,0.5,0,B.1.1.7-like+E484K,2,1.0,1
2021-04-18,4,0.2,0.0,0,Eta (B.1.525-like),5,1.0,1
2021-04-18,46,1.09,0.0,3,Iota (B.1.526-like),89,97.0,40
2021-04-18,1,0.5,0.5,0,Mu (B.1.621-like),2,1.0,1
2021-04-18,2,2.08,1.0,0,Epsilon (B.1.429-like),12,25.0,10
2021-04-18,2,2.1,2.0,0,Epsilon (B.1.427-like),10,21.0,8
2021-04-18,0,5.0,5.0,0,Lambda (C.37-like),2,10.0,2
2021-04-18,0,3.0,3.0,0,A.23.1-like,1,3.0,1
2021-04-19,1045,0.8,0.0,7,Alpha (B.1.1.7-like),1884,1512.0,832
2021-04-19,5,2.07,1.0,0,B.1.617.1-like,15,31.0,10
2021-04-19,30,3.71,1.0,15,.,100,371.0,55
2021-04-19,15,1.87,2.0,1,Delta (B.1.617.2-like),71,133.0,55
2021-04-19,3,0.8,0.0,0,B.1.1.7-like+E484K,5,4.0,2
2021-04-19,17,1.24,1.0,1,Gamma (P.1-like),42,52.0,24
2021-04-19,0,3.0,3.0,0,B.1.1.318-like,3,9.0,3
2021-04-19,2,0.0,0.0,0,Delta (AY.4-like),2,0.0,0
2021-04-19,4,0.2,0.0,0,Eta (B.1.525-like),5,1.0,1
2021-04-19,10,1.25,0.0,0,Beta (B.1.351-like),16,20.0,6
2021-04-19,60,0.84,1.0,0,Iota (B.1.526-like),127,107.0,67
2021-04-19,12,0.8,1.0,0,Epsilon (B.1.429-like),25,20.0,13
2021-04-19,1,1.0,1.0,0,Mu (B.1.621-like),3,3.0,2
2021-04-19,14,0.4,0.0,0,Epsilon (B.1.427-like),20,8.0,6
2021-04-20,868,0.79,0.0,6,Alpha (B.1.1.7-like),1526,1203.0,652
2021-04-20,23,2.04,1.0,4,Delta (B.1.617.2-like),69,141.0,42
2021-04-20,5,1.78,0.0,0,B.1.617.1-like,9,16.0,4
2021-04-20,12,0.97,1.0,0,Gamma (P.1-like),30,29.0,18
2021-04-20,1,0.0,0.0,0,B.1.1.7-like+E484K,1,0.0,0
2021-04-20,1,1.83,2.0,0,Eta (B.1.525-like),6,11.0,5
2021-04-20,5,1.47,2.0,0,Beta (B.1.351-like),17,25.0,12
2021-04-20,1,5.0,6.0,0,B.1.1.318-like,6,30.0,5
2021-04-20,16,4.43,1.0,15,.,77,341.0,46
2021-04-20,1,0.0,0.0,0,Delta (AY.4-like),1,0.0,0
2021-04-20,21,1.51,1.0,0,Iota (B.1.526-like),73,110.0,52
2021-04-20,11,1.05,0.0,0,Epsilon (B.1.429-like),21,22.0,10
2021-04-20,5,0.8,0.5,0,Epsilon (B.1.427-like),10,8.0,5
2021-04-20,0,2.5,2.5,0,Lambda (C.37-like),2,5.0,2
2021-04-20,0,1.0,1.0,0,A.23.1-like,1,1.0,1
2021-04-21,1102,0.79,0.0,9,Alpha (B.1.1.7-like),1982,1574.0,871
2021-04-21,4,2.64,1.0,1,B.1.1.318-like,11,29.0,6
2021-04-21,24,1.0,1.0,0,Gamma (P.1-like),51,51.0,27
2021-04-21,41,4.65,1.0,19,.,102,474.0,42
2021-04-21,26,1.67,1.0,2,Delta (B.1.617.2-like),66,110.0,38
2021-04-21,5,1.95,2.0,0,Beta (B.1.351-like),21,41.0,16
2021-04-21,5,1.25,0.0,0,Eta (B.1.525-like),8,10.0,3
2021-04-21,3,0.5,0.0,0,B.1.1.7-like+E484K,4,2.0,1
2021-04-21,4,2.22,1.0,0,B.1.617.1-like,9,20.0,5
2021-04-21,0,21.0,21.0,1,B.1.617.3-like,1,21.0,0
2021-04-21,1,0.0,0.0,0,Delta (AY.4-like),1,0.0,0
2021-04-21,80,1.11,1.0,2,Iota (B.1.526-like),176,196.0,94
2021-04-21,14,1.67,1.0,1,Epsilon (B.1.429-like),36,60.0,21
2021-04-21,7,1.0,0.0,0,Epsilon (B.1.427-like),12,12.0,5
2021-04-21,0,1.0,1.0,0,Zeta (P.2-like),1,1.0,1
2021-04-22,1091,0.78,0.0,4,Alpha (B.1.1.7-like),1969,1538.0,874
2021-04-22,27,1.57,1.0,1,Delta (B.1.617.2-like),87,137.0,59
2021-04-22,20,1.13,1.0,0,Gamma (P.1-like),61,69.0,41
2021-04-22,1,1.0,1.0,0,B.1.1.7-like+E484K,2,2.0,1
2021-04-22,21,5.91,2.0,21,.,79,467.0,37
2021-04-22,8,0.73,0.0,0,Delta (AY.4-like),11,8.0,3
2021-04-22,4,2.08,1.0,1,B.1.617.1-like,12,25.0,7
2021-04-22,6,1.55,0.0,0,Eta (B.1.525-like),11,17.0,5
2021-04-22,2,1.29,1.0,0,B.1.1.318-like,7,9.0,5
2021-04-22,4,2.7,2.5,0,Beta (B.1.351-like),10,27.0,6
2021-04-22,67,0.96,0.5,0,Iota (B.1.526-like),134,128.0,67
2021-04-22,13,0.81,0.5,0,Epsilon (B.1.429-like),26,21.0,13
2021-04-22,5,1.33,1.0,0,Epsilon (B.1.427-like),12,16.0,7
2021-04-22,2,2.62,1.5,0,Lambda (C.37-like),8,21.0,6
2021-04-22,0,4.5,4.5,0,Mu (B.1.621-like),2,9.0,2
2021-04-22,0,2.0,2.0,0,Delta (B.1.617.2-like) +K417N,1,2.0,1
2021-04-23,940,0.81,0.0,6,Alpha (B.1.1.7-like),1646,1331.0,700
2021-04-23,11,0.89,0.0,0,Beta (B.1.351-like),19,17.0,8
2021-04-23,43,1.25,0.0,1,Delta (B.1.617.2-like),77,96.0,33
2021-04-23,9,0.75,0.0,0,B.1.617.1-like,12,9.0,3
2021-04-23,21,4.7,1.0,16,.,76,357.0,39
2021-04-23,24,1.04,1.0,1,Gamma (P.1-like),53,55.0,28
2021-04-23,0,24.0,24.0,1,B.1.617.3-like,1,24.0,0
2021-04-23,0,1.0,1.0,0,B.1.1.7-like+E484K,1,1.0,1
2021-04-23,7,0.45,0.0,0,Delta (AY.4-like),11,5.0,4
2021-04-23,0,27.0,27.0,1,AV.1-like,1,27.0,0
2021-04-23,6,1.64,1.0,0,B.1.1.318-like,14,23.0,8
2021-04-23,47,1.11,1.0,0,Iota (B.1.526-like),120,133.0,73
2021-04-23,7,1.59,2.0,0,Epsilon (B.1.429-like),32,51.0,25
2021-04-23,0,1.0,1.0,0,Mu (B.1.621-like),2,2.0,2
2021-04-23,24,0.56,0.0,0,Epsilon (B.1.427-like),34,19.0,10
2021-04-23,1,1.33,2.0,0,Lambda (C.37-like),3,4.0,2
2021-04-23,0,10.0,10.0,1,Eta (B.1.525-like),1,10.0,0
2021-04-24,567,0.79,0.0,3,Alpha (B.1.1.7-like),995,785.0,425
2021-04-24,24,5.23,1.0,13,.,62,324.0,25
2021-04-24,34,1.39,1.0,0,Delta (B.1.617.2-like),71,99.0,37
2021-04-24,6,2.08,2.0,1,B.1.617.1-like,13,27.0,6
2021-04-24,15,0.06,0.0,0,Delta (AY.4-like),16,1.0,1
2021-04-24,6,1.5,1.0,0,B.1.1.318-like,14,21.0,8
2021-04-24,5,0.17,0.0,0,Beta (B.1.351-like),6,1.0,1
2021-04-24,17,1.42,0.0,1,Gamma (P.1-like),33,47.0,15
2021-04-24,40,0.88,1.0,0,Iota (B.1.526-like),84,74.0,44
2021-04-24,3,1.86,2.0,0,Mu (B.1.621-like),7,13.0,4
2021-04-24,2,1.56,1.0,0,Epsilon (B.1.429-like),9,14.0,7
2021-04-24,1,0.5,0.5,0,Lambda (C.37-like),2,1.0,1
2021-04-24,4,1.42,1.0,0,Epsilon (B.1.427-like),12,17.0,8
2021-04-25,568,0.73,0.0,1,Alpha (B.1.1.7-like),970,712.0,401
2021-04-25,27,1.47,1.0,0,Delta (B.1.617.2-like),73,107.0,46
2021-04-25,4,1.3,1.0,0,B.1.1.318-like,10,13.0,6
2021-04-25,3,2.25,1.0,1,B.1.617.1-like,8,18.0,4
2021-04-25,0,1.0,1.0,0,B.1.1.7-like+E484K,3,3.0,3
2021-04-25,7,0.64,0.0,0,Beta (B.1.351-like),11,7.0,4
2021-04-25,15,7.46,3.0,18,.,63,470.0,30
2021-04-25,1,1.33,2.0,0,Delta (AY.4-like),3,4.0,2
2021-04-25,3,0.0,0.0,0,Eta (B.1.525-like),3,0.0,0
2021-04-25,5,0.89,1.0,0,Gamma (P.1-like),19,17.0,14
2021-04-25,28,1.14,1.0,0,Iota (B.1.526-like),65,74.0,37
2021-04-25,1,4.25,4.5,1,Epsilon (B.1.429-like),8,34.0,6
2021-04-25,1,2.0,2.5,0,Epsilon (B.1.427-like),4,8.0,3
2021-04-25,1,3.67,5.0,0,Mu (B.1.621-like),3,11.0,2
2021-04-25,0,1.0,1.0,0,Lambda (C.37-like),1,1.0,1
2021-04-26,1097,0.8,0.0,6,Alpha (B.1.1.7-like),1908,1520.0,805
2021-04-26,18,0.32,0.0,0,Delta (AY.4-like),25,8.0,7
2021-04-26,34,1.71,1.0,5,Delta (B.1.617.2-like),77,132.0,38
2021-04-26,34,4.25,1.0,15,.,93,395.0,44
2021-04-26,16,2.12,1.0,1,Gamma (P.1-like),52,110.0,35
2021-04-26,1,2.0,2.5,0,B.1.617.1-like,4,8.0,3
2021-04-26,3,2.2,1.0,1,Beta (B.1.351-like),15,33.0,11
2021-04-26,0,26.25,26.0,4,AV.1-like,4,105.0,0
2021-04-26,1,0.0,0.0,0,B.1.1.7-like+E484K,1,0.0,0
2021-04-26,0,5.5,5.5,1,A.23.1-like,2,11.0,1
2021-04-26,0,2.0,2.0,0,Delta (B.1.617.2-like) +K417N,4,8.0,4
2021-04-26,1,1.33,1.0,0,Eta (B.1.525-like),3,4.0,2
2021-04-26,6,1.62,1.0,0,B.1.1.318-like,13,21.0,7
2021-04-26,0,21.0,21.0,2,B.1.617.3-like,2,42.0,0
2021-04-26,71,0.92,1.0,0,Iota (B.1.526-like),144,132.0,73
2021-04-26,10,1.57,1.0,1,Epsilon (B.1.429-like),21,33.0,10
2021-04-26,2,2.12,2.0,0,Mu (B.1.621-like),8,17.0,6
2021-04-26,1,2.38,2.5,0,Epsilon (B.1.427-like),8,19.0,7
2021-04-26,2,0.0,0.0,0,Lambda (C.37-like),2,0.0,0
2021-04-27,1009,0.83,0.0,13,Alpha (B.1.1.7-like),1834,1528.0,812
2021-04-27,0,26.5,26.0,4,AV.1-like,4,106.0,0
2021-04-27,22,0.08,0.0,0,Delta (AY.4-like),24,2.0,2
2021-04-27,14,1.59,0.0,1,Beta (B.1.351-like),27,43.0,12
2021-04-27,28,0.92,0.0,0,Gamma (P.1-like),53,49.0,25
2021-04-27,34,1.16,1.0,1,Delta (B.1.617.2-like),69,80.0,34
2021-04-27,2,1.57,1.0,0,Eta (B.1.525-like),7,11.0,5
2021-04-27,12,0.68,0.0,0,B.1.1.318-like,19,13.0,7
2021-04-27,1,0.5,0.5,0,B.1.1.7-like+E484K,2,1.0,1
2021-04-27,2,2.6,1.0,1,B.1.617.1-like,5,13.0,2
2021-04-27,13,7.98,2.5,32,.,92,734.0,47
2021-04-27,49,1.0,1.0,2,Iota (B.1.526-like),110,110.0,59
2021-04-27,9,1.15,0.0,0,Mu (B.1.621-like),13,15.0,4
2021-04-27,0,1.67,2.0,0,Lambda (C.37-like),3,5.0,3
2021-04-27,4,2.59,1.0,1,Epsilon (B.1.429-like),17,44.0,12
2021-04-27,3,0.71,1.0,0,Epsilon (B.1.427-like),7,5.0,4
2021-04-27,0,6.0,6.0,0,A.23.1-like,1,6.0,1
2021-04-28,958,0.79,0.0,4,Alpha (B.1.1.7-like),1719,1351.0,757
2021-04-28,40,1.2,1.0,3,Delta (B.1.617.2-like),85,102.0,42
2021-04-28,29,0.23,0.0,0,Delta (AY.4-like),31,7.0,2
2021-04-28,0,6.6,7.0,2,Eta (B.1.525-like),5,33.0,3
2021-04-28,1,0.0,0.0,0,Delta (B.1.617.2-like) +K417N,1,0.0,0
2021-04-28,10,1.28,0.0,1,B.1.1.318-like,18,23.0,7
2021-04-28,0,2.67,3.0,0,B.1.617.1-like,3,8.0,3
2021-04-28,6,1.09,0.0,0,Beta (B.1.351-like),11,12.0,5
2021-04-28,14,1.53,1.0,0,Gamma (P.1-like),45,69.0,31
2021-04-28,30,5.99,1.0,19,.,84,503.0,35
2021-04-28,0,25.5,25.5,2,AV.1-like,2,51.0,0
2021-04-28,1,1.5,2.0,0,Mu (B.1.621-like),4,6.0,3
2021-04-28,53,1.1,1.0,1,Iota (B.1.526-like),125,138.0,71
2021-04-28,2,0.33,0.0,0,Lambda (C.37-like),3,1.0,1
2021-04-28,0,17.0,17.0,2,B.1.617.3-like,2,34.0,0
2021-04-28,1,2.0,2.0,0,Epsilon (B.1.427-like),5,10.0,4
2021-04-28,6,0.78,0.0,0,Epsilon (B.1.429-like),9,7.0,3
2021-04-28,0,1.0,1.0,0,B.1.1.7-like+E484K,1,1.0,1
2021-04-29,988,0.78,0.0,8,Alpha (B.1.1.7-like),1734,1345.0,738
2021-04-29,22,0.24,0.0,0,Delta (AY.4-like),29,7.0,7
2021-04-29,45,1.41,1.0,0,Delta (B.1.617.2-like),99,140.0,54
2021-04-29,1,4.43,5.0,2,Eta (B.1.525-like),7,31.0,4
2021-04-29,3,6.47,6.0,6,B.1.617.1-like,15,97.0,6
2021-04-29,4,0.67,1.0,0,Beta (B.1.351-like),9,6.0,5
2021-04-29,0,26.0,26.0,3,AV.1-like,3,78.0,0
2021-04-29,18,7.2,2.0,19,.,65,468.0,28
2021-04-29,4,2.4,1.0,1,B.1.1.318-like,15,36.0,10
2021-04-29,37,1.23,1.0,0,Iota (B.1.526-like),107,132.0,70
2021-04-29,0,4.0,4.0,0,B.1.1.7-like+E484K,1,4.0,1
